source_id,ra,dec,pmra,pmdec,bp_rp,phot_g_mean_mag,parallax
4421578052803971968,229.8921584033295,2.19803486186452,-26.36980551974826,8.31674668990201,3.455822,17.906778,7.0623973763235375
4421578057103918848,229.89279793000398,2.2072778482066657,4.228295342441173,-9.790890733525673,1.0703335,15.211701,0.0628809020676832
4421578224602733824,229.92218845274215,2.2246766850425037,3.915922638802465,-15.646448949316074,0.7013321,17.092415,0.11642308425772029
4421578258962322560,230.01155396815275,2.1714877856068178,-1.5648607555472016,-2.624243142987464,1.2290096,17.949627,0.47633352943965723
4421578297622073728,230.0236431883852,2.187954964762232,-10.975495776236539,-2.0185974067259846,1.1134357,17.493965,0.801415000918585
4421578572499984128,230.00456791554848,2.20449450379828,-16.873625661142214,-18.761472031629577,1.1931477,16.548801,0.8926282508551789
4421578641219461888,229.9879479605659,2.2041304384113065,-1.384739011802315,-11.195025524281592,0.97288895,16.885519,0.5481776134263684
4421578709938938880,230.02037280181926,2.226529892684373,1.3801697060230418,-17.07665378448598,0.82826614,17.451914,0.2061348686840273
4421578950457102848,230.08338956777405,2.2286920932126426,-1.5436369323491115,-5.533657564259564,0.8057003,17.169558,0.30892778205146343
4421579122255798656,230.04499085749492,2.2371284162067924,-9.850503799853609,3.2221509570672517,0.79612064,15.645935,0.41796124871988294
4421579328414232064,230.05169109104725,2.26669200761361,-50.324748942976846,-20.619483679128894,2.861412,16.54571,5.153665636806881
4421579358474071552,229.96249138859807,2.2130808471237793,0.2318645230134495,2.3699545569135503,1.2238312,16.860195,0.78256571964882
4421579397133813504,229.98475398251435,2.218028799682328,-22.019164841482183,-0.3235540826455387,0.87967587,13.95667,1.1851291494239002
4421579397133813760,229.98140870493438,2.2214340207959156,-3.4290620677596406,-21.697085908303116,1.138648,16.468721,0.7234000206240554
4421579465853189504,229.96244211712454,2.229279281599615,2.670861049612621,-3.1758394711290348,0.79860497,15.043127,0.662577694620657
4421579534572662400,230.00371333569834,2.2364712124402337,-5.541122300814924,-0.49131847637166415,1.371418,17.79528,1.2092628673030543
4421579667711795584,229.9550970003483,2.2477075940221627,10.586992528195681,0.09772135947757013,1.9763308,16.86047,2.264938819965383
4421579809450576128,229.9795778268779,2.263403295154229,-6.113248936328903,0.42562236712007423,0.8117056,16.217619,0.5391124792655974
4421580015609003648,230.01519945456693,2.270006350404935,-18.92183328589349,-2.436362683944417,0.9195118,17.70475,0.6316749555126343
4421580324846651904,230.01674472752404,2.287610527184826,-1.5041537037368184,-8.851495906236218,0.7776203,17.203663,0.21810875019723375
4421576854513064192,229.98329497745272,2.177682958148552,-15.379359056603848,-1.2484008343403312,1.0059366,15.064046,1.4236750580512545
4421576918932512896,229.9535272732336,2.1660460666261754,-7.578235172383108,0.1805212040521357,1.2634811,17.905764,0.7078188182869734
4421576987652013824,229.93615572338072,2.174382569236471,4.150652437057808,-9.602664446781528,0.7832165,17.813793,0.02827360182107118
4421580599724465408,229.85977253002386,2.1871877855005617,-10.195931949666374,-40.2301753243593,2.2840872,14.637878,7.249268235956562
4421580737163429888,229.81416468482877,2.191887457652873,7.814488216530276,9.972955847065757,0.74732685,14.408355,1.048998192844892
4421580737163433216,229.8113118194922,2.200194414889343,-15.254105327433194,-24.195354064386873,2.48248,16.186024,4.534146157370909
4421580805882912768,229.7946538077564,2.1977392913186615,4.0633810745849575,-10.033306100295382,1.1153879,14.6676035,0.0817376578081011
4421580840242649600,229.8185280726392,2.207423242932339,-11.027254720584002,1.216293060915191,1.3632145,17.717321,0.7035776659177925
4421580874602383488,229.84407336770008,2.210684787112092,-25.459649608922245,10.52220988273653,1.8646622,16.343143,1.7596956670608097
4421580939022057984,229.81924218206873,2.2220500204523295,-9.28225901640932,-4.109754533184946,2.0942554,17.875254,1.491369239938035
4421580977681605888,229.8405917324577,2.229029766388558,4.080873142937898,-9.89765988044999,0.8779526,17.703314,0.2120946855887649
4421580977681607296,229.83483665800577,2.2288074315527506,-9.094846305432132,-8.420224639692492,1.4461193,17.568138,0.8228669927556498
4421581286919333888,229.85769982181404,2.2354443250110494,-2.0863206220361925,-3.358411282832749,0.8091316,16.520407,0.4407304707229612
4421581389998552064,229.85052619049108,2.248400894875351,4.412309661088567,-6.799833778854092,1.456892,15.717356,1.9267210799112817
